Fecha,Hora_Entrada,Hora_Salida,ID_Caja,ID_Producto,Temperatura_Actual,Ubicacion,ID_Robot,ID_Celda,ID_Pedido,Numero_Serie,Responsable,horas_almacenado,Num_Fila_Repetida
26/06/2023,13,22,caja003,94,12,c27,robot 3,0,405,291,9,9,0
26/6/2023,13,14,caja002,23,3,j30,robot 1,2,270,89,3,1,0
26/06/2023,4,22,caja002,7,12,j30,n/a,n/a,213,113,6,18,1
26/6/2023,8,14,na,68,3,a04,robot 1,1,72,323,6,6,0
26/6/2023,4,21,caja004,33,3,g34,robot 4,0,32,27,3,17,0
26/6/2023,7,15,caja001,16,3,p26,robot 4,n/a,412,110,6,8,0
26/6/2023,10,17,caja004,12,12,o03,robot 1,2,188,463,8,7,0
26/06/2023,11,16,caja003,70,3,o30,robot 1,0,132,156,5,5,0
26/06/2023,6,14,caja003,78,12,p20,robot 1,2,124,241,4,8,0
26/6/2023,9,22,caja002,23,12,h35,robot 4,0,406,494,9,13,0
26/06/2023,5,23,caja003,6,3,n28,robot 3,1,372,414,9,18,0
26/06/2023,12,21,caja002,3,3,j13,robot 4,n/a,204,38,1,9,0
26/06/2023,11,21,caja002,3,3,i38,robot 1,0,481,121,2,10,0
26/6/2023,5,17,caja001,6,12,e40,robot 4,1,248,353,5,12,0
26/06/2023,5,21,na,36,12,p24,n/a,0,81,68,6,16,0
26/06/2023,10,15,na,62,3,k34,robot 4,n/a,172,266,10,5,0
26/06/2023,11,18,caja002,83,12,p40,robot 2,0,421,402,9,7,0
26/06/2023,7,16,caja004,78,12,p05,robot 1,2,265,201,5,9,0
26/6/2023,9,20,na,60,3,b39,robot 4,0,109,429,9,11,0
26/06/2023,4,15,caja004,52,3,b38,robot 4,n/a,323,237,9,11,0
26/06/2023,13,22,caja003,5,3,f40,robot 3,n/a,121,222,6,9,0
26/06/2023,9,18,caja003,88,3,k12,robot 1,2,148,280,9,9,0
26/06/2023,9,22,caja001,47,3,j13,robot 1,1,474,252,7,13,1
26/06/2023,8,18,caja004,26,12,q11,robot 2,1,129,267,3,10,0
26/06/2023,8,19,caja001,9,12,a16,n/a,n/a,179,362,2,11,0
26/06/2023,13,23,caja001,45,3,p16,robot 3,2,30,278,3,10,0
26/6/2023,7,19,caja001,32,3,i20,robot 4,n/a,2,43,4,12,0
26/06/2023,9,23,caja004,9,12,n07,robot 3,1,83,73,7,14,0
26/06/2023,13,23,caja004,7,12,j32,n/a,n/a,480,302,6,10,0
26/6/2023,11,22,caja004,36,3,b16,robot 2,0,196,346,5,11,0
26/6/2023,8,23,caja003,81,3,p08,robot 1,n/a,185,458,6,15,0
26/6/2023,10,19,caja004,97,3,d33,robot 3,2,274,178,8,9,0
26/06/2023,7,21,caja003,70,12,e23,robot 2,n/a,124,92,2,14,0
26/6/2023,11,23,caja002,12,12,c38,robot 3,2,381,499,1,12,0
26/06/2023,11,23,caja001,22,12,k31,robot 1,2,318,435,6,12,0
26/06/2023,11,14,na,78,3,g07,robot 1,n/a,141,23,6,3,1
26/6/2023,6,19,caja001,2,12,m27,n/a,0,291,451,2,13,0
26/6/2023,8,15,caja002,42,12,g20,n/a,0,335,369,10,7,0
26/06/2023,12,15,caja001,72,12,j28,robot 2,0,36,470,10,3,0
26/06/2023,9,19,caja001,18,12,p22,robot 2,0,201,358,4,10,0
26/06/2023,7,18,caja002,99,12,j06,n/a,n/a,304,262,4,11,0
26/06/2023,12,18,caja003,16,3,m04,robot 3,2,270,26,5,6,0
26/06/2023,9,17,caja002,51,12,g35,robot 2,n/a,70,77,9,8,0
26/6/2023,7,19,caja002,64,3,m17,robot 3,n/a,317,454,10,12,0
26/06/2023,4,16,caja001,13,12,p36,robot 2,n/a,409,86,4,12,0
26/6/2023,13,19,caja003,21,12,m02,robot 4,2,336,14,3,6,0
26/06/2023,5,15,caja004,23,3,q10,robot 3,2,21,90,6,10,0
26/6/2023,7,15,caja001,90,3,j01,n/a,1,203,146,4,8,0
26/06/2023,5,22,caja001,46,3,n40,n/a,n/a,143,199,5,17,1
26/06/2023,5,23,na,69,3,p04,robot 2,1,91,426,6,18,0
26/06/2023,7,22,caja002,2,12,d30,robot 3,1,400,132,3,15,0
26/06/2023,9,20,caja001,72,3,g01,robot 2,1,459,112,5,11,0
26/06/2023,7,23,caja003,92,12,i09,n/a,0,75,288,3,16,0
26/6/2023,5,15,caja004,14,3,n38,n/a,0,458,288,1,10,0
26/6/2023,8,16,caja003,43,3,c28,robot 1,1,189,153,9,8,0
26/06/2023,4,23,caja002,73,3,i15,robot 4,0,448,85,5,19,0
26/6/2023,12,21,caja003,98,12,h23,n/a,0,335,337,4,9,0
26/06/2023,8,18,caja004,49,3,e36,robot 1,1,215,362,8,10,0
26/06/2023,12,17,caja001,14,3,a28,robot 4,1,4,297,5,5,0
26/06/2023,12,20,caja002,64,12,h19,robot 4,0,170,471,9,8,0
26/06/2023,5,16,caja003,39,3,o29,n/a,0,151,235,8,11,0
26/06/2023,4,17,caja004,84,3,m01,robot 4,1,376,139,5,13,0
26/06/2023,4,21,caja004,90,12,e02,n/a,0,85,152,3,17,0
26/06/2023,8,15,caja001,79,12,k17,robot 1,0,92,30,3,7,0
26/06/2023,7,17,caja002,95,12,a05,n/a,n/a,492,179,1,10,0
26/6/2023,12,22,caja004,29,3,m07,robot 2,n/a,193,48,4,10,0
26/06/2023,13,14,caja004,2,12,i15,n/a,0,220,185,1,1,1
26/06/2023,9,23,caja001,63,12,n22,n/a,0,31,32,10,14,0
26/06/2023,5,15,caja001,53,3,j02,n/a,2,339,429,6,10,0
26/06/2023,8,22,caja001,61,12,o03,robot 4,n/a,220,362,9,14,1
26/06/2023,8,17,caja001,44,12,l31,n/a,n/a,138,237,2,9,0
26/06/2023,6,23,caja004,38,12,d09,robot 4,0,21,183,1,17,0
26/6/2023,13,17,caja002,41,12,c22,robot 3,n/a,419,457,1,4,0
26/6/2023,11,19,caja002,48,12,c12,robot 4,2,438,200,8,8,0
26/6/2023,10,21,caja004,11,12,g01,robot 4,0,97,393,9,11,1
26/6/2023,9,16,caja004,56,3,b36,robot 1,1,136,488,4,7,0
26/06/2023,6,21,caja004,62,12,f22,robot 1,1,237,107,6,15,0
26/06/2023,13,14,caja003,18,12,k17,robot 2,0,367,356,3,1,1
26/06/2023,11,19,caja003,38,3,q30,robot 2,2,46,370,10,8,0
26/06/2023,8,17,caja002,3,3,h20,robot 1,2,68,349,9,9,0
26/06/2023,9,16,caja003,9,3,c12,n/a,2,141,337,8,7,1
26/6/2023,5,16,caja001,30,12,o19,robot 2,n/a,451,121,6,11,0
26/6/2023,10,14,caja004,18,3,l05,robot 3,n/a,352,135,6,4,0
26/06/2023,6,14,caja004,43,12,q19,robot 4,1,405,157,7,8,0
26/6/2023,9,19,caja003,29,3,f09,robot 2,2,278,386,3,10,0
26/06/2023,8,19,na,58,3,i10,robot 1,n/a,43,161,2,11,0
26/06/2023,5,21,caja004,64,12,f17,n/a,1,406,380,7,16,0
26/6/2023,5,14,caja004,82,3,e12,n/a,1,398,98,2,9,0
26/06/2023,4,23,caja002,83,12,h04,robot 1,2,267,32,3,19,0
26/06/2023,9,16,caja003,17,3,c03,robot 4,1,395,267,7,7,0
26/06/2023,8,18,caja004,8,3,c20,robot 2,1,379,305,10,10,0
26/06/2023,12,15,caja001,69,3,a01,robot 3,2,61,454,10,3,0
26/06/2023,4,17,caja002,8,3,a23,robot 4,n/a,350,51,9,13,0
26/06/2023,9,21,na,95,12,n04,n/a,1,321,187,2,12,0
26/06/2023,7,18,caja002,47,12,m35,robot 3,2,252,323,8,11,1
26/06/2023,7,18,caja004,98,3,o02,robot 1,2,424,289,4,11,0
26/06/2023,4,15,caja002,59,12,n37,robot 4,1,373,102,6,11,0
26/06/2023,8,19,caja001,51,3,h11,n/a,n/a,342,6,9,11,0
26/6/2023,9,18,caja004,69,12,a21,robot 1,2,144,31,6,9,0
26/06/2023,12,18,caja004,4,3,d14,robot 4,0,297,245,1,6,0
26/06/2023,8,19,caja001,69,3,g23,robot 3,0,42,10,6,11,0
26/06/2023,5,21,caja004,94,3,n05,n/a,n/a,115,455,6,16,0
26/06/2023,10,23,caja003,54,3,m17,robot 4,0,125,244,2,13,1
26/06/2023,13,18,caja001,50,12,l07,robot 4,1,6,474,9,5,0
26/06/2023,13,22,caja002,5,12,e30,robot 3,n/a,143,128,4,9,0
26/06/2023,7,22,na,11,3,b21,robot 2,0,286,202,1,15,1
26/06/2023,7,18,caja001,6,3,g19,robot 1,0,182,435,5,11,0
26/06/2023,4,18,caja002,20,12,e10,robot 3,1,222,315,3,14,0
26/6/2023,5,16,caja002,55,12,e25,n/a,1,378,419,2,11,0
26/6/2023,5,15,caja002,58,3,q04,robot 2,1,269,145,8,10,0
26/06/2023,8,21,caja002,61,3,j27,n/a,1,470,149,9,13,0
26/6/2023,12,17,caja001,94,3,l28,robot 2,n/a,460,403,2,5,0
26/06/2023,13,16,caja003,45,12,g15,robot 2,n/a,310,89,6,3,0
26/06/2023,7,14,caja001,33,12,k24,n/a,0,477,465,1,7,0
26/06/2023,12,16,caja004,56,12,e32,robot 3,2,291,421,1,4,0
26/06/2023,12,16,caja002,73,12,n27,robot 2,2,369,465,5,4,0
26/06/2023,6,19,na,12,12,k13,robot 1,1,76,333,8,13,0
26/06/2023,6,23,na,64,3,h18,n/a,2,13,488,5,17,0
26/06/2023,9,14,caja002,61,3,k23,n/a,0,473,481,4,5,0
26/6/2023,12,22,caja001,57,12,n37,robot 3,n/a,234,255,6,10,1
26/6/2023,4,21,na,13,12,j06,robot 2,0,473,123,5,17,1
26/6/2023,13,19,caja002,45,3,i14,n/a,1,260,345,3,6,0
26/06/2023,13,17,caja002,40,3,q33,robot 3,0,374,488,9,4,0
26/06/2023,9,20,caja001,88,12,d40,robot 2,2,270,187,7,11,0
26/6/2023,5,16,caja002,75,12,c08,robot 4,1,268,83,2,11,0
26/06/2023,8,20,caja001,33,12,m15,robot 1,2,131,69,4,12,1
26/06/2023,10,23,na,56,12,g35,robot 3,n/a,91,25,7,13,1
26/6/2023,5,15,caja002,65,12,e12,robot 2,1,126,160,6,10,1
26/06/2023,11,19,caja002,75,12,e38,robot 4,0,385,268,1,8,0
26/6/2023,12,16,caja002,72,3,b06,n/a,2,430,5,7,4,0
26/6/2023,7,19,caja004,30,12,f03,n/a,2,497,97,5,12,0
26/06/2023,12,21,caja003,64,12,k20,robot 2,0,195,61,3,9,0
26/6/2023,8,16,caja004,97,12,a34,robot 3,2,137,182,7,8,1
26/06/2023,8,22,caja004,42,12,d18,robot 1,0,340,326,7,14,0
26/06/2023,4,18,caja004,16,12,e25,robot 1,1,328,423,4,14,1
26/06/2023,6,14,na,2,3,l11,robot 2,n/a,61,66,10,8,0
26/06/2023,11,23,caja002,10,12,d27,robot 3,2,438,413,9,12,0
26/06/2023,6,20,caja004,21,3,a08,robot 4,1,391,158,1,14,0
26/6/2023,8,20,caja004,51,12,b27,n/a,1,176,439,7,12,0
26/6/2023,9,20,caja001,32,3,g20,n/a,2,261,159,10,11,1
26/6/2023,12,23,caja001,4,3,g03,robot 3,2,2,341,6,11,0
26/6/2023,8,19,caja004,61,12,i17,robot 4,n/a,11,285,2,11,0
26/06/2023,12,20,caja003,66,12,i35,n/a,n/a,11,374,1,8,0
26/6/2023,6,22,caja002,68,3,f27,robot 3,2,259,175,5,16,0
26/06/2023,9,16,caja002,17,3,o25,robot 3,2,3,106,7,7,0
26/6/2023,9,14,caja002,75,3,m32,n/a,2,437,159,7,5,0
26/06/2023,7,18,caja001,75,3,g05,robot 1,2,42,204,5,11,0
26/6/2023,11,20,caja001,99,3,k39,robot 2,2,325,69,7,9,0
26/6/2023,5,19,caja002,4,3,e13,robot 3,0,87,74,1,14,0
26/6/2023,10,19,caja004,57,12,d29,robot 2,0,464,498,4,9,0
26/6/2023,8,20,caja004,86,12,f10,robot 2,1,97,457,4,12,0
26/06/2023,12,19,caja002,96,3,q39,robot 1,1,476,141,9,7,0
26/06/2023,13,17,caja001,46,12,h36,robot 3,2,25,408,9,4,1
26/06/2023,7,19,caja001,94,3,n34,robot 2,1,443,377,7,12,0
26/06/2023,10,16,caja002,97,3,c15,n/a,2,123,227,3,6,0
26/06/2023,11,23,caja003,23,3,i07,robot 3,2,431,62,3,12,0
26/6/2023,9,21,caja004,38,3,g14,robot 4,0,323,401,5,12,0
26/6/2023,12,17,caja001,20,12,g04,robot 2,0,72,496,7,5,0
26/6/2023,10,18,caja004,85,12,a18,robot 4,2,333,460,2,8,0
26/06/2023,5,18,na,59,3,c35,robot 4,0,98,459,2,13,0
26/06/2023,9,18,caja003,62,3,k09,robot 1,0,407,468,4,9,0
26/06/2023,6,19,caja003,38,12,o08,robot 2,n/a,298,26,5,13,0
26/06/2023,9,19,caja002,11,3,b15,n/a,0,296,140,4,10,0
26/6/2023,12,19,caja004,22,12,h27,robot 4,1,401,119,9,7,0
26/6/2023,9,14,caja003,62,3,i17,n/a,n/a,281,172,5,5,1
26/06/2023,8,22,caja003,33,12,h06,robot 2,0,123,56,4,14,0
26/06/2023,5,20,caja004,21,3,h22,n/a,2,140,44,3,15,0
26/06/2023,5,16,caja001,42,12,a08,robot 2,2,320,153,1,11,1
26/06/2023,13,16,caja003,5,12,i17,robot 2,2,167,181,2,3,2
26/6/2023,12,21,caja004,69,3,k37,robot 4,1,260,319,4,9,0
26/06/2023,4,14,caja003,35,3,i36,robot 3,0,178,499,4,10,0
26/06/2023,10,15,caja003,43,12,b01,robot 3,1,111,324,3,5,1
26/6/2023,11,21,caja001,10,12,o28,robot 2,2,272,42,10,10,0
26/06/2023,9,21,caja001,59,12,d12,robot 1,1,354,239,3,12,0
26/6/2023,6,19,caja002,60,12,f14,n/a,0,344,348,1,13,0
26/6/2023,4,18,caja004,55,12,q26,robot 4,2,486,491,10,14,0
26/6/2023,8,18,caja001,42,3,o16,robot 1,1,81,285,1,10,0
26/6/2023,4,20,caja003,27,12,g11,robot 3,1,1,6,7,16,0
26/06/2023,6,17,caja002,76,12,h06,robot 3,1,73,153,3,11,1
26/06/2023,7,14,caja003,42,3,j22,robot 3,1,332,179,7,7,0
26/6/2023,13,16,caja004,57,3,j01,robot 2,n/a,158,16,2,3,1
26/06/2023,5,18,caja003,98,3,m16,robot 1,2,296,366,8,13,1
26/06/2023,5,23,caja003,80,3,j22,n/a,1,128,231,8,18,1
26/6/2023,9,18,caja002,4,3,h35,robot 4,n/a,316,6,7,9,1
26/06/2023,9,19,caja001,2,12,j10,robot 4,1,369,404,8,10,0
26/06/2023,4,17,caja001,18,12,e08,robot 4,0,83,168,1,13,1
26/6/2023,12,16,caja002,6,12,j14,robot 4,1,357,262,5,4,0
26/06/2023,5,14,caja002,53,3,e29,robot 4,0,327,328,9,9,0
26/06/2023,4,23,caja003,5,12,b18,robot 4,1,315,279,6,19,1
26/06/2023,6,16,caja004,72,12,l38,robot 4,2,261,31,10,10,0
26/06/2023,12,15,caja004,7,3,c01,robot 3,n/a,29,126,2,3,1
26/06/2023,5,21,caja001,60,12,a19,n/a,n/a,329,116,2,16,0
26/6/2023,6,15,caja001,54,12,g19,n/a,2,6,300,2,9,1
26/06/2023,6,15,caja002,34,3,m28,robot 2,n/a,163,116,6,9,0
26/06/2023,4,16,na,20,12,a24,robot 3,1,93,177,2,12,0
26/06/2023,6,22,caja003,92,3,e22,n/a,2,134,71,5,16,0
26/06/2023,5,14,caja004,78,12,m25,robot 2,0,299,270,6,9,0
26/06/2023,7,16,caja001,24,12,l07,robot 2,0,57,226,6,9,1
26/06/2023,8,14,caja002,93,3,g16,robot 4,n/a,258,212,4,6,0
26/6/2023,12,17,caja003,50,12,m36,n/a,0,48,288,6,5,0
26/06/2023,4,16,caja001,2,3,a13,robot 2,1,239,140,5,12,0
26/06/2023,7,18,caja003,3,3,m06,robot 4,n/a,414,61,1,11,0
26/06/2023,11,20,na,49,12,h28,robot 1,2,471,22,7,9,0
26/6/2023,6,23,caja002,82,12,c09,robot 1,0,234,121,7,17,0
26/06/2023,11,19,caja002,64,12,g01,robot 4,2,430,401,6,8,2
26/06/2023,6,23,na,30,3,c10,robot 2,0,95,399,3,17,0
26/06/2023,11,18,caja004,65,3,k29,n/a,2,249,475,2,7,0
26/06/2023,13,15,caja002,13,3,l28,robot 2,0,278,442,7,2,1
26/06/2023,12,17,caja002,77,12,i30,robot 4,1,383,14,7,5,0
26/06/2023,7,16,caja003,33,12,o14,robot 3,1,205,219,3,9,0
26/06/2023,10,22,caja002,12,3,k14,robot 2,0,205,305,4,12,0
26/6/2023,8,20,caja003,71,3,o39,robot 2,1,374,175,2,12,0
26/06/2023,7,23,na,4,12,a21,robot 2,1,379,303,9,16,1
26/06/2023,10,15,caja002,9,3,n25,n/a,1,24,376,2,5,0
26/06/2023,7,17,na,16,3,k07,n/a,1,87,306,6,10,0
26/06/2023,6,22,caja002,97,3,j40,n/a,n/a,313,357,7,16,0
26/06/2023,13,20,caja004,32,12,f03,robot 2,0,58,18,4,7,1
26/6/2023,9,22,caja001,76,12,d15,n/a,0,215,225,4,13,0
26/06/2023,10,22,caja004,86,3,d05,robot 3,n/a,373,283,8,12,0
26/06/2023,12,18,caja003,71,3,a22,robot 3,1,114,180,2,6,0
26/06/2023,7,21,caja001,98,12,b20,n/a,2,169,175,10,14,0
26/06/2023,11,21,caja002,53,12,n19,robot 2,n/a,413,69,8,10,0
26/6/2023,7,14,caja001,8,3,a11,n/a,n/a,417,275,5,7,0
26/6/2023,9,19,caja001,51,3,d37,robot 3,1,16,67,2,10,1
26/06/2023,11,21,caja002,77,12,h27,robot 3,2,289,261,2,10,1
26/06/2023,10,22,caja003,44,12,e11,robot 2,1,424,166,7,12,0
26/06/2023,6,21,caja004,31,12,b30,robot 3,0,181,322,10,15,1
26/06/2023,11,21,caja004,11,12,n26,robot 2,2,364,297,9,10,1
26/6/2023,13,23,caja004,33,3,h23,robot 2,1,141,79,6,10,1
26/6/2023,13,16,caja004,92,12,q31,robot 1,0,150,12,5,3,0
26/06/2023,6,23,caja004,76,3,m12,robot 4,0,495,497,3,17,0
26/06/2023,4,18,caja001,19,3,m31,robot 4,1,337,154,8,14,0
26/6/2023,11,17,caja002,8,12,j20,n/a,0,221,397,9,6,0
26/06/2023,11,15,caja003,53,3,q32,robot 1,2,285,454,8,4,0
26/06/2023,5,15,caja002,96,3,k33,n/a,0,359,222,9,10,0
26/06/2023,5,20,caja001,29,12,b20,robot 4,2,59,172,1,15,1
26/6/2023,13,16,caja004,27,12,g40,robot 1,n/a,344,400,9,3,0
26/06/2023,11,23,caja003,49,3,k06,robot 3,1,264,479,3,12,1
26/06/2023,6,23,caja003,17,12,i33,n/a,0,462,441,5,17,0
26/06/2023,10,20,caja002,23,3,j21,robot 2,1,140,316,10,10,0
26/06/2023,8,21,caja004,53,12,j18,robot 3,0,37,363,5,13,0
26/6/2023,9,17,caja001,44,12,g08,robot 3,1,50,444,3,8,0
26/06/2023,11,23,caja001,93,3,q13,n/a,2,106,451,9,12,0
26/06/2023,11,23,caja004,67,12,a38,n/a,n/a,139,358,8,12,0
26/6/2023,7,17,caja002,34,3,n20,robot 4,2,394,163,8,10,0
26/06/2023,5,20,caja004,93,12,n39,robot 4,1,456,295,7,15,0
26/06/2023,6,18,caja003,38,12,a22,robot 1,1,492,319,5,12,1
26/06/2023,5,14,caja003,86,12,i38,robot 4,1,81,30,5,9,1
26/06/2023,9,17,caja001,20,3,b04,robot 2,1,483,149,6,8,0
26/06/2023,6,21,caja003,17,12,b10,robot 3,2,361,186,2,15,0
26/6/2023,5,18,caja002,63,12,p25,n/a,1,251,222,8,13,0
26/06/2023,4,19,caja003,70,3,b34,n/a,0,219,420,2,15,0
26/06/2023,8,15,na,28,3,k33,robot 3,1,404,313,4,7,1
26/06/2023,7,18,caja001,79,3,o22,robot 1,n/a,450,323,8,11,0
26/6/2023,5,23,caja003,93,3,d36,robot 3,0,185,108,1,18,0
26/6/2023,13,14,caja001,74,12,g19,robot 3,2,417,354,7,1,2
26/6/2023,6,22,caja004,67,3,g22,robot 2,n/a,347,30,7,16,1
26/06/2023,6,21,na,73,12,p20,n/a,0,342,469,10,15,1
26/6/2023,7,22,caja003,64,12,g32,robot 1,n/a,155,245,7,15,0
26/6/2023,5,20,caja002,81,3,k21,robot 4,0,401,84,8,15,0
26/06/2023,12,21,caja003,80,12,q15,n/a,0,206,218,3,9,0
26/06/2023,7,23,caja003,81,3,o18,robot 2,0,205,146,2,16,0
26/06/2023,5,20,caja001,100,3,o37,robot 4,1,292,187,9,15,0
26/6/2023,9,15,caja004,71,12,q13,robot 1,2,115,19,5,6,1
26/6/2023,5,16,caja002,47,12,j06,robot 1,n/a,327,236,5,11,2
26/6/2023,8,16,caja003,74,12,d25,n/a,n/a,164,242,5,8,0
26/6/2023,11,23,caja004,24,3,d37,robot 2,2,79,198,5,12,2
26/6/2023,11,15,caja004,9,3,k13,robot 1,2,448,144,3,4,1
26/06/2023,12,21,caja001,14,12,k37,robot 3,1,337,358,7,9,1
26/6/2023,10,14,caja001,71,3,o28,robot 1,n/a,69,359,7,4,1
26/06/2023,7,22,caja002,70,12,n34,n/a,n/a,442,498,3,15,1
26/6/2023,7,15,caja002,50,3,q05,robot 2,2,192,111,5,8,0
26/06/2023,6,18,caja004,67,3,a38,robot 3,n/a,478,287,9,12,1
26/06/2023,10,23,caja004,50,3,d08,robot 2,0,229,366,8,13,0
26/06/2023,10,20,caja004,15,12,e06,robot 2,1,432,98,2,10,0
26/06/2023,8,15,caja002,46,3,q22,n/a,1,442,468,7,7,0
26/06/2023,12,15,caja004,11,3,m24,n/a,n/a,440,243,8,3,0
26/06/2023,4,16,caja003,91,3,h11,robot 2,0,150,485,6,12,1
26/6/2023,10,22,caja003,62,3,p32,robot 2,1,313,405,3,12,0
26/6/2023,12,19,caja001,62,3,o21,robot 1,0,327,288,4,7,0
26/06/2023,7,16,caja003,36,12,e35,n/a,1,492,461,10,9,1
26/06/2023,12,18,caja004,33,12,i24,robot 4,2,414,154,2,6,0
26/06/2023,10,18,caja001,66,12,q28,robot 4,1,271,157,10,8,0
26/06/2023,5,16,caja004,32,3,k22,n/a,1,376,48,1,11,0
26/06/2023,5,22,caja004,59,12,p05,robot 3,1,448,454,6,17,1
26/6/2023,12,17,caja004,96,3,p36,robot 4,0,163,282,8,5,1
26/06/2023,6,23,caja004,14,3,e20,n/a,1,380,97,9,17,0
26/06/2023,9,15,caja004,41,3,p08,robot 4,2,431,339,3,6,1
26/06/2023,8,19,caja001,5,12,j40,robot 3,0,369,331,7,11,1
26/06/2023,6,23,caja002,40,12,p19,robot 1,2,30,98,1,17,0
26/6/2023,9,17,caja003,80,3,m24,robot 2,1,56,244,7,8,1
26/06/2023,9,14,caja004,53,12,i05,n/a,1,148,480,10,5,0
26/6/2023,5,18,caja004,9,3,a07,robot 3,0,493,395,2,13,0
26/6/2023,12,21,caja004,90,12,j19,robot 2,0,130,473,9,9,0
26/06/2023,8,18,caja004,97,3,n11,robot 2,1,431,137,2,10,0
26/06/2023,7,21,caja003,36,3,a30,robot 2,0,341,479,10,14,0
26/06/2023,6,20,na,30,12,k40,robot 4,n/a,375,377,4,14,0
26/6/2023,7,20,caja003,57,12,d22,n/a,0,275,164,1,13,0
26/6/2023,5,21,caja003,78,12,g06,robot 4,0,227,14,1,16,0
26/6/2023,11,17,caja001,28,3,o13,robot 2,n/a,61,94,3,6,0
26/06/2023,12,19,caja001,92,3,k33,n/a,2,344,253,1,7,2
26/06/2023,10,20,caja002,96,3,b23,robot 1,0,182,73,8,10,0
26/06/2023,9,16,caja004,18,12,j26,robot 4,2,316,277,7,7,0
26/06/2023,12,14,caja001,37,3,b05,robot 2,2,110,362,5,2,0
26/06/2023,9,17,caja001,56,12,b26,robot 3,n/a,152,79,6,8,0
26/06/2023,11,21,caja001,66,3,a36,robot 3,n/a,108,469,4,10,0
